Id,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,labels
60,79,udp,ftp_data,SH,7431,915,1,10,9,0,4,1,10,0,1,3,3,1,1,0,0,1,44,59,0.66,0.9,0.55,0.7,0.88,0.15,0.13,51,69,0.9,0.0,0.17,0.33,0.73,0.64,0.3,0.23,back
61,65,udp,other,SF,4396,1013,1,1,0,2,1,0,0,0,1,0,1,0,2,0,1,0,48,1,0.17,0.23,0.15,0.28,0.13,0.48,0.2,116,73,0.79,0.23,0.78,0.19,0.39,0.41,0.12,0.22,normal
62,97,icmp,smtp,S0,3809,2590,0,1,0,2,0,1,0,0,0,1,2,2,3,0,1,0,31,17,0.19,0.23,0.46,0.29,0.43,0.21,0.22,58,76,0.56,0.35,0.39,0.18,0.49,0.01,0.01,0.2,normal
63,2,icmp,smtp,S0,1267,599,1,9,6,5,3,0,10,0,1,9,4,1,5,0,1,1,32,83,0.86,0.56,0.72,0.89,0.82,0.46,0.43,254,252,0.87,0.1,0.35,0.34,0.73,0.69,0.48,0.14,smurf
64,64,udp,http,S0,1239,556,0,7,0,3,2,0,2,0,0,6,1,0,0,0,0,0,40,47,0.65,0.61,0.82,0.9,0.82,0.14,0.06,21,175,0.84,0.17,0.78,0.08,0.62,0.99,0.1,0.16,teardrop
65,1,udp,domain_u,S0,1860,458,0,6,6,5,2,1,6,0,0,7,2,1,5,0,1,0,93,59,0.86,0.93,0.95,0.64,0.93,0.29,0.39,151,55,0.97,0.06,0.37,0.45,0.53,0.55,0.32,0.32,teardrop
66,45,udp,other,SF,3738,1977,0,9,9,5,3,1,3,1,0,4,2,2,0,0,1,1,23,77,0.55,0.61,0.51,0.88,0.97,0.16,0.42,16,207,0.96,0.24,0.17,0.25,0.93,0.74,0.34,0.22,smurf
67,78,udp,eco_i,SF,2549,414,0,2,0,2,1,0,1,0,1,2,0,2,1,0,1,0,63,77,0.18,0.28,0.05,0.43,0.31,0.16,0.11,99,252,0.59,0.38,0.82,0.44,0.08,0.26,0.31,0.37,normal
68,35,icmp,ftp_data,REJ,2695,1707,0,8,8,4,1,1,9,1,1,10,3,0,4,0,0,0,47,29,0.7,0.59,0.94,0.79,0.9,0.08,0.28,126,187,0.88,0.19,0.98,0.11,0.77,0.92,0.04,0.19,smurf
69,26,udp,ftp_data,SH,8025,819,1,6,9,3,0,1,8,0,0,1,3,2,4,0,1,0,54,58,0.61,0.51,0.61,0.92,0.92,0.03,0.17,77,13,0.84,0.19,0.36,0.28,0.93,0.53,0.14,0.42,neptune
70,96,tcp,private,SH,2269,931,1,0,0,2,0,0,0,0,0,1,0,2,3,0,0,0,95,82,0.26,0.2,0.04,0.05,0.13,0.16,0.19,87,49,0.8,0.24,0.89,0.46,0.36,0.01,0.39,0.19,normal
71,71,tcp,domain_u,SF,1575,2217,0,0,0,2,1,1,2,0,1,1,0,0,1,0,1,0,89,3,0.39,0.37,0.1,0.03,0.42,0.2,0.01,219,187,0.9,0.1,0.31,0.05,0.2,0.43,0.39,0.14,normal
72,65,tcp,eco_i,SF,2564,3983,1,2,0,1,0,1,2,0,0,2,2,1,1,0,0,0,31,86,0.06,0.44,0.18,0.05,0.02,0.39,0.07,35,235,0.73,0.36,0.23,0.0,0.23,0.49,0.12,0.16,normal
73,54,udp,smtp,SF,1825,308,0,1,0,0,1,0,2,0,1,2,1,0,3,0,0,0,5,15,0.28,0.06,0.41,0.42,0.29,0.1,0.13,176,219,0.77,0.4,0.65,0.17,0.23,0.33,0.38,0.05,normal
74,78,udp,http,REJ,217,3213,1,2,0,0,0,1,1,0,1,1,2,0,5,0,0,0,47,73,0.16,0.23,0.18,0.12,0.17,0.2,0.3,234,224,0.58,0.13,0.2,0.23,0.25,0.18,0.33,0.05,normal
75,51,udp,ftp_data,SH,5651,102,0,9,3,5,2,0,4,0,0,10,5,1,4,0,0,0,7,90,0.75,0.64,0.82,0.63,0.94,0.24,0.16,222,5,0.93,0.44,0.1,0.45,0.76,0.94,0.41,0.28,teardrop
76,25,tcp,ftp_data,SF,5526,385,0,2,1,2,3,1,9,0,0,4,5,1,0,0,1,1,65,22,0.53,0.51,0.95,0.82,0.93,0.41,0.37,123,114,0.87,0.18,0.76,0.15,0.87,0.6,0.31,0.01,teardrop
77,71,icmp,other,SH,4693,4161,1,2,0,2,1,1,0,0,0,3,2,2,3,0,1,0,97,75,0.13,0.07,0.13,0.41,0.32,0.0,0.01,60,136,0.95,0.37,0.75,0.02,0.19,0.37,0.23,0.43,normal
78,38,udp,other,SF,526,4132,0,0,0,1,1,1,0,0,0,0,1,2,5,0,0,0,57,21,0.2,0.15,0.26,0.12,0.37,0.23,0.43,151,183,0.52,0.11,0.31,0.38,0.25,0.21,0.04,0.09,normal
79,32,tcp,domain_u,SH,502,1800,1,2,0,0,1,0,2,0,0,1,2,1,4,0,1,0,45,40,0.2,0.04,0.41,0.17,0.32,0.02,0.21,66,127,0.59,0.2,0.0,0.06,0.41,0.09,0.32,0.11,normal
80,100,udp,domain_u,SH,3588,816,1,2,0,2,1,0,1,0,0,1,0,1,3,0,0,0,94,10,0.13,0.42,0.03,0.06,0.15,0.28,0.15,247,2,0.93,0.21,0.31,0.44,0.25,0.47,0.38,0.08,normal
81,72,tcp,smtp,SF,5272,722,1,4,10,4,5,1,9,1,1,10,1,0,2,0,1,1,94,24,0.57,0.93,0.77,0.51,0.85,0.47,0.29,175,183,0.84,0.14,0.04,0.01,0.7,0.7,0.19,0.46,back
82,40,tcp,private,SH,5406,6,1,10,3,3,2,0,6,1,1,10,0,1,5,0,0,1,55,38,0.83,0.56,0.86,0.56,0.99,0.2,0.46,28,70,0.92,0.48,0.44,0.33,0.62,0.58,0.05,0.47,smurf
83,23,udp,other,SH,6185,1348,0,4,1,1,1,1,8,1,1,0,0,2,1,0,0,1,90,94,0.98,0.96,0.71,0.59,0.99,0.1,0.22,231,3,0.82,0.12,0.38,0.47,0.87,0.53,0.36,0.22,back
84,62,tcp,eco_i,SH,4070,4270,1,0,0,1,0,1,0,0,1,2,1,1,1,0,1,0,100,99,0.26,0.24,0.27,0.17,0.12,0.44,0.04,251,238,0.71,0.13,0.94,0.44,0.27,0.18,0.02,0.39,normal
85,41,udp,eco_i,SF,8560,1697,0,4,3,4,0,0,10,0,0,8,5,2,0,0,0,1,30,89,0.62,0.76,1.0,0.71,0.98,0.14,0.44,62,163,0.96,0.07,0.34,0.21,0.53,0.76,0.11,0.1,neptune
86,27,icmp,ftp_data,REJ,1272,330,0,0,4,0,3,1,3,0,1,5,3,0,4,0,0,0,48,54,0.61,0.72,0.77,0.65,0.87,0.46,0.19,200,33,0.91,0.29,0.31,0.28,0.93,0.95,0.08,0.1,neptune
87,50,tcp,http,SH,3161,1969,1,10,2,5,2,0,3,0,0,2,0,2,0,0,1,1,51,61,0.87,0.81,0.51,0.87,0.96,0.26,0.49,191,58,0.81,0.02,0.45,0.17,0.93,0.95,0.31,0.05,neptune
88,97,icmp,other,S0,7,2534,1,0,0,0,1,0,2,0,0,0,1,2,1,0,0,0,75,58,0.21,0.09,0.34,0.32,0.08,0.07,0.17,190,81,0.98,0.43,0.95,0.45,0.41,0.35,0.26,0.45,normal
89,29,icmp,smtp,SH,2200,865,1,8,1,1,3,1,10,0,1,9,4,1,2,0,1,0,28,8,0.67,0.55,0.64,0.88,1.0,0.37,0.42,46,18,0.88,0.35,0.53,0.43,0.98,0.66,0.47,0.36,back
90,91,udp,http,SH,2110,808,0,7,0,2,5,0,10,0,0,6,1,1,2,0,0,1,32,77,0.75,0.96,0.66,0.7,0.81,0.26,0.27,232,32,0.99,0.11,0.54,0.2,0.54,0.89,0.01,0.43,teardrop
91,19,tcp,http,SH,1767,1461,1,9,0,1,1,1,10,0,0,2,3,1,5,0,0,0,58,18,0.7,0.86,0.81,0.75,0.98,0.0,0.34,152,242,0.99,0.05,0.44,0.32,0.85,0.93,0.27,0.18,neptune
92,67,tcp,smtp,RSTO,97,1089,0,1,0,1,1,1,1,0,0,2,1,0,3,0,1,0,3,50,0.19,0.11,0.02,0.45,0.43,0.44,0.47,11,227,0.74,0.29,0.36,0.46,0.16,0.48,0.02,0.27,normal
93,7,icmp,other,S0,5958,137,0,3,5,4,0,0,1,1,1,7,2,0,1,0,1,0,37,92,0.78,0.6,0.65,0.79,0.97,0.43,0.3,116,5,0.97,0.13,0.5,0.16,0.7,0.95,0.06,0.46,smurf
94,17,udp,ftp_data,S0,4206,2463,1,2,0,1,1,0,0,0,0,2,1,2,4,0,0,0,46,4,0.35,0.16,0.14,0.49,0.42,0.21,0.14,61,143,0.55,0.25,0.87,0.1,0.0,0.36,0.34,0.2,normal
95,39,icmp,other,SF,6885,1922,1,9,7,5,3,1,2,0,0,3,3,0,4,0,0,0,98,100,0.9,0.93,0.93,0.98,0.82,0.09,0.23,58,61,0.85,0.47,0.57,0.37,0.7,0.58,0.22,0.4,back
96,90,tcp,ftp_data,REJ,9546,1072,1,0,8,2,1,1,0,0,1,5,2,2,3,0,0,0,63,20,0.87,0.71,0.76,0.79,0.89,0.34,0.11,138,147,0.82,0.04,0.21,0.38,0.7,0.76,0.34,0.12,neptune
97,8,udp,eco_i,SF,3477,1836,1,10,6,1,2,1,4,1,0,1,4,0,3,0,0,1,6,3,0.68,0.66,0.99,0.5,0.84,0.48,0.21,58,97,0.97,0.3,0.18,0.1,0.93,0.91,0.36,0.37,back
98,36,tcp,eco_i,S0,4741,1013,0,6,5,0,5,1,7,1,0,2,3,0,1,0,1,0,51,5,0.92,0.95,0.78,0.64,0.99,0.2,0.44,58,224,0.91,0.29,0.74,0.25,0.8,0.59,0.49,0.32,teardrop
99,6,tcp,domain_u,RSTO,1792,3237,1,2,0,1,0,0,1,0,1,2,0,2,1,0,1,0,47,21,0.0,0.08,0.4,0.26,0.36,0.43,0.47,252,76,0.55,0.32,0.12,0.05,0.45,0.05,0.29,0.33,normal
100,91,tcp,domain_u,REJ,9215,1533,0,6,6,3,2,1,1,0,1,3,2,1,4,0,1,1,71,64,0.9,0.54,0.9,0.88,0.95,0.44,0.16,26,24,0.82,0.01,0.49,0.15,0.63,0.81,0.48,0.13,smurf
101,44,icmp,other,RSTO,9529,1295,1,0,10,4,3,1,5,0,1,5,0,1,5,0,1,0,46,59,0.61,0.79,0.6,0.75,0.81,0.13,0.24,47,83,0.85,0.12,0.16,0.29,0.9,0.73,0.48,0.14,smurf
102,37,tcp,domain_u,RSTO,1319,469,1,0,0,0,1,0,1,0,1,2,1,0,2,0,1,0,7,64,0.16,0.3,0.05,0.09,0.29,0.06,0.42,193,89,0.72,0.22,0.22,0.21,0.39,0.49,0.27,0.11,normal
103,2,udp,eco_i,SH,97,402,0,2,0,2,0,1,0,0,0,1,1,0,0,0,0,0,8,47,0.24,0.44,0.22,0.11,0.2,0.41,0.45,13,117,0.52,0.48,0.18,0.49,0.37,0.37,0.26,0.12,normal
104,72,icmp,domain_u,RSTO,1333,678,0,7,4,1,0,0,8,1,1,0,0,0,5,0,1,1,15,50,0.96,0.9,0.86,0.62,0.96,0.45,0.45,7,205,0.88,0.5,0.11,0.27,0.62,0.54,0.36,0.15,teardrop
105,59,icmp,domain_u,S0,3965,2352,0,2,0,1,0,1,0,0,1,2,1,0,1,0,0,0,28,100,0.2,0.16,0.13,0.3,0.04,0.15,0.24,157,81,0.75,0.32,0.24,0.21,0.31,0.36,0.39,0.1,normal
106,80,tcp,ftp_data,RSTO,9054,922,0,4,9,5,5,0,1,0,0,8,5,1,3,0,0,1,32,65,0.91,0.9,0.82,0.73,0.84,0.44,0.33,229,152,0.94,0.42,0.71,0.23,0.74,0.69,0.17,0.29,neptune
107,27,icmp,other,S0,9278,676,1,4,5,2,0,0,9,0,0,10,4,1,1,0,0,0,90,7,0.6,0.92,0.85,0.94,0.85,0.19,0.11,68,5,0.84,0.03,0.67,0.47,0.72,0.9,0.03,0.42,neptune
